"filename", "language", "PHP", "JSON", "Markdown", "XML", "YAML", "JavaScript", "CSS", "Batch", "Shell Script", "SQLite", "SCSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\cscs\dist\css\alt\adminlte.components.css", "CSS", 0, 0, 0, 0, 0, 0, 4960, 0, 0, 0, 0, 0, 8, 1280, 6248
"c:\xampp\htdocs\cscs\dist\css\alt\adminlte.components.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\cscs\dist\css\alt\adminlte.core.css", "CSS", 0, 0, 0, 0, 0, 0, 15760, 0, 0, 0, 0, 0, 14, 2575, 18349
"c:\xampp\htdocs\cscs\dist\css\alt\adminlte.core.min.css", "CSS", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 11, 0, 13
"c:\xampp\htdocs\cscs\dist\css\alt\adminlte.extra-components.css", "CSS", 0, 0, 0, 0, 0, 0, 944, 0, 0, 0, 0, 0, 8, 196, 1148
"c:\xampp\htdocs\cscs\dist\css\alt\adminlte.extra-components.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\cscs\dist\css\alt\adminlte.pages.css", "CSS", 0, 0, 0, 0, 0, 0, 525, 0, 0, 0, 0, 0, 8, 110, 643
"c:\xampp\htdocs\cscs\dist\css\alt\adminlte.pages.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\cscs\dist\css\alt\adminlte.plugins.css", "CSS", 0, 0, 0, 0, 0, 0, 5250, 0, 0, 0, 0, 0, 16, 1322, 6588
"c:\xampp\htdocs\cscs\dist\css\alt\adminlte.plugins.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\cscs\dist\css\custom.css", "CSS", 0, 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 5, 35, 213
"c:\xampp\htdocs\cscs\dist\js\.eslintrc.json", "JSON", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
"c:\xampp\htdocs\cscs\dist\js\adminlte.js", "JavaScript", 0, 0, 0, 0, 0, 1943, 0, 0, 0, 0, 0, 0, 308, 491, 2742
"c:\xampp\htdocs\cscs\dist\js\adminlte.min.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\cscs\dist\js\demo.js", "JavaScript", 0, 0, 0, 0, 0, 595, 0, 0, 0, 0, 0, 0, 13, 79, 687
"c:\xampp\htdocs\cscs\dist\js\html5-qrcode-scanner.js", "JavaScript", 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 477, 30, 695
"c:\xampp\htdocs\cscs\dist\js\html5-qrcode.js", "JavaScript", 0, 0, 0, 0, 0, 736, 0, 0, 0, 0, 0, 0, 218, 83, 1037
"c:\xampp\htdocs\cscs\dist\js\html5-qrcode.min.js", "JavaScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 2, 7
"c:\xampp\htdocs\cscs\dist\js\pages\dashboard.js", "JavaScript", 0, 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 0, 30, 22, 268
"c:\xampp\htdocs\cscs\dist\js\pages\dashboard2.js", "JavaScript", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 165, 14, 271
"c:\xampp\htdocs\cscs\dist\js\pages\dashboard3.js", "JavaScript", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 11, 9, 148
